Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
NC_009674	14954	13821	0.92	2554	0.18	11267	0.75	0	2.92	3.00	22
NC_012581	14954	13954	0.93	2468	0.18	11486	0.77	0	2.86	3.00	34
NC_006274	14954	14031	0.94	2327	0.17	11704	0.78	0	2.99	3.00	41
NC_007530	14954	14087	0.94	2268	0.16	11819	0.79	0	3.02	3.00	33
NC_003997	14954	13900	0.93	2637	0.19	11263	0.75	0	2.93	3.00	32
NC_011969	14954	14048	0.94	2493	0.18	11555	0.77	0	2.92	3.00	47
NC_011773	14954	14123	0.94	2541	0.18	11582	0.77	0	2.96	3.00	32
NC_005945	14954	13882	0.93	2647	0.19	11235	0.75	0	2.81	3.00	24
NC_012659	14954	14004	0.94	2502	0.18	11502	0.77	0	2.96	3.00	33
NC_005957	14954	14212	0.95	2391	0.17	11821	0.79	0	3.02	3.00	35
NC_014335	14954	14146	0.95	2680	0.19	11466	0.77	0	2.90	3.00	32
NC_011725	14954	14043	0.94	2623	0.19	11420	0.76	0	2.97	3.00	37
NC_008600	14954	13954	0.93	2723	0.20	11231	0.75	0	2.90	3.00	38
NC_010184	14954	14125	0.94	2319	0.16	11806	0.79	0	3.04	3.00	93
NC_004722	14954	13971	0.93	2554	0.18	11417	0.76	0	2.99	3.00	32
NC_012472	14954	14159	0.95	2478	0.18	11681	0.78	0	2.93	3.00	47
NC_011772	14954	14122	0.94	2549	0.18	11573	0.77	0	2.94	3.00	41
NC_003909	14954	14160	0.95	2769	0.20	11391	0.76	0	2.97	3.00	71
NC_011658	14954	14142	0.95	2380	0.17	11762	0.79	0	2.93	3.00	44
NC_014171	14954	14093	0.94	2504	0.18	11589	0.77	0	3.05	3.00	38
NC_016771	14954	14039	0.94	2377	0.17	11662	0.78	0	3.01	3.00	56
NC_016779	14954	14229	0.95	2461	0.17	11768	0.79	0	2.98	3.00	35
NC_017729	14954	13879	0.93	2776	0.20	11103	0.74	0	2.86	3.00	27
NC_017200	14954	14275	0.95	2386	0.17	11889	0.80	0	3.08	3.00	45
NC_018491	14954	14011	0.94	2543	0.18	11468	0.77	0	3.01	3.00	54
NC_017208	14954	13895	0.93	2587	0.19	11308	0.76	0	2.79	3.00	45
NC_018693	14954	13930	0.93	2642	0.19	11288	0.75	0	2.81	2.00	68
NC_018877	14954	13934	0.93	2455	0.18	11479	0.77	0	3.04	3.00	42
NC_022781	14954	14103	0.94	2474	0.18	11629	0.78	0	2.96	3.00	40
NC_018508	14954	13896	0.93	2598	0.19	11298	0.76	0	2.94	3.00	43
NC_020238	14954	14189	0.95	2604	0.18	11585	0.77	0	2.93	3.00	23
NC_018500	14954	14081	0.94	2660	0.19	11421	0.76	0	2.88	2.00	35
NC_020376	14954	14065	0.94	2563	0.18	11502	0.77	0	2.97	3.00	40
NZ_CP001970	14954	14162	0.95	2512	0.18	11650	0.78	0	2.96	3.00	34
NZ_CP001974	14954	14149	0.95	2550	0.18	11599	0.78	0	2.94	3.00	29
NZ_CP004858	14954	14060	0.94	2751	0.20	11309	0.76	0	2.87	3.00	35
NZ_AP014864	14954	14079	0.94	2459	0.17	11620	0.78	0	2.95	3.00	37
NC_022873	14954	14061	0.94	2353	0.17	11708	0.78	0	3.04	3.00	51
NZ_CP004870	14954	14144	0.95	2670	0.19	11474	0.77	0	2.93	3.00	25
NZ_CP006742	14954	13987	0.94	2357	0.17	11630	0.78	0	2.96	3.00	24
NZ_CP007607	14954	13857	0.93	2757	0.20	11100	0.74	0	2.87	3.00	46
NZ_CP007618	14954	14105	0.94	2270	0.16	11835	0.79	0	3.06	3.00	37
NZ_CP007626	14954	13905	0.93	2385	0.17	11520	0.77	0	2.86	3.00	56
NZ_CP007666	14954	14075	0.94	2618	0.19	11457	0.77	0	3.07	3.00	30
NZ_CP008846	14954	14177	0.95	2532	0.18	11645	0.78	0	2.94	3.00	20
NZ_CP009315	14954	14187	0.95	2493	0.18	11694	0.78	0	3.01	3.00	35
NZ_CP009300	14954	13906	0.93	2842	0.20	11064	0.74	0	2.88	3.00	36
NZ_CP009318	14954	13959	0.93	2967	0.21	10992	0.74	0	2.83	3.00	34
NZ_CP009325	14954	14182	0.95	2417	0.17	11765	0.79	0	2.99	3.00	30
NZ_CP009328	14954	13950	0.93	2447	0.18	11503	0.77	0	2.90	3.00	36
NZ_CP009331	14954	14105	0.94	2261	0.16	11844	0.79	0	2.96	3.00	36
NZ_CP009335	14954	13973	0.93	2532	0.18	11441	0.77	0	2.95	3.00	41
NZ_CP009341	14954	14280	0.95	2577	0.18	11703	0.78	0	2.94	3.00	40
NZ_CP009351	14954	14191	0.95	2529	0.18	11662	0.78	0	3.02	3.00	43
NZ_CP009369	14954	13832	0.92	2353	0.17	11479	0.77	0	2.90	3.00	48
NZ_CP009464	14954	13741	0.92	2696	0.20	11045	0.74	0	2.84	3.00	31
NZ_CP009476	14954	13829	0.92	2389	0.17	11440	0.77	0	2.97	3.00	24
NZ_CP009541	14954	13917	0.93	2200	0.16	11717	0.78	0	2.97	3.00	36
NZ_CP009544	14954	14187	0.95	2533	0.18	11654	0.78	0	2.96	3.00	26
NZ_CP009590	14954	14115	0.94	2471	0.18	11644	0.78	0	3.12	3.00	49
NZ_CP009596	14954	13937	0.93	2272	0.16	11665	0.78	0	3.02	3.00	47
NZ_CP009598	14954	13911	0.93	2430	0.17	11481	0.77	0	2.95	3.00	37
NZ_CP009600	14954	14097	0.94	2461	0.17	11636	0.78	0	2.96	3.00	38
NZ_CP009605	14954	13889	0.93	2853	0.21	11036	0.74	0	2.79	2.00	24
NZ_CP009628	14954	14020	0.94	2406	0.17	11614	0.78	0	2.94	3.00	67
NZ_CP009641	14954	14015	0.94	2434	0.17	11581	0.77	0	2.96	3.00	39
NZ_CP009651	14954	14013	0.94	2765	0.20	11248	0.75	0	2.88	3.00	45
NZ_CP009692	14954	13967	0.93	2553	0.18	11414	0.76	0	2.93	3.00	59
NZ_CP009686	14954	14109	0.94	2632	0.19	11477	0.77	0	2.95	3.00	36
NZ_CP009697	14954	14205	0.95	2334	0.16	11871	0.79	0	3.01	3.00	26
NZ_CP009720	14954	14041	0.94	2413	0.17	11628	0.78	0	2.99	3.00	42
NZ_CP009700	14954	14173	0.95	2260	0.16	11913	0.80	0	3.10	3.00	30
NZ_CP009746	14954	14142	0.95	2690	0.19	11452	0.77	0	2.91	3.00	68
NZ_CP009941	14954	14068	0.94	2560	0.18	11508	0.77	0	3.01	3.00	41
NZ_CP009902	14954	14056	0.94	2246	0.16	11810	0.79	0	3.09	3.00	28
NZ_CP009968	14954	13742	0.92	2601	0.19	11141	0.75	0	2.92	3.00	34
NZ_CP009981	14954	13978	0.93	2738	0.20	11240	0.75	0	2.84	3.00	22
NZ_CP010005	14954	14343	0.96	2467	0.17	11876	0.79	0	3.02	3.00	44
NZ_CP010088	14954	13903	0.93	2662	0.19	11241	0.75	0	2.88	3.00	26
NZ_CP010089	14954	13934	0.93	2895	0.21	11039	0.74	0	2.94	3.00	44
NZ_CP010106	14954	14253	0.95	2641	0.19	11612	0.78	0	2.97	3.00	39
NZ_CP010322	14954	14149	0.95	2595	0.18	11554	0.77	0	2.97	3.00	35
NZ_CP010577	14954	14302	0.96	2336	0.16	11966	0.80	0	3.06	3.00	42
NZ_CP010792	14954	14002	0.94	2259	0.16	11743	0.79	0	2.95	3.00	25
NZ_CP010852	14954	14048	0.94	2592	0.18	11456	0.77	0	2.90	3.00	30
NZ_CP012099	14954	14082	0.94	2543	0.18	11539	0.77	0	3.05	3.00	45
NZ_CP012519	14954	14031	0.94	2757	0.20	11274	0.75	0	2.94	3.00	30
NZ_CP012483	14954	13900	0.93	2492	0.18	11408	0.76	0	2.97	3.00	25
NZ_CP011349	14954	13966	0.93	2545	0.18	11421	0.76	0	2.91	3.00	33
NZ_CP013055	14954	14114	0.94	2337	0.17	11777	0.79	0	3.09	3.00	28
NZ_CP013274	14954	14134	0.95	2827	0.20	11307	0.76	0	2.85	3.00	48
NZ_CP014179	14954	14210	0.95	2303	0.16	11907	0.80	0	3.02	3.00	31
NZ_CP007512	14954	14155	0.95	2573	0.18	11582	0.77	0	2.99	3.00	33
