Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
NC_009674	1790	3	0.00	3	1.00	0	0.00	0	0.00	0.00	1
NC_007530	1790	1790	1.00	0	0.00	1790	1.00	34	55.67	56.00	81
NC_012659	1790	1790	1.00	0	0.00	1790	1.00	34	55.46	55.00	84
NC_010184	1790	19	0.01	18	0.95	1	0.00	0	0.01	0.00	2
NC_014335	1790	150	0.08	139	0.93	11	0.01	0	0.09	0.00	3
NC_005957	1790	162	0.09	148	0.91	14	0.01	0	0.10	0.00	3
NC_012472	1790	136	0.08	130	0.96	6	0.00	0	0.08	0.00	2
NC_005945	1790	1759	0.98	5	0.00	1754	0.98	0	54.52	55.00	79
NC_011969	1790	91	0.05	86	0.95	5	0.00	0	0.05	0.00	2
NC_011658	1790	61	0.03	55	0.90	6	0.00	0	0.04	0.00	3
NC_012581	1790	1683	0.94	16	0.01	1667	0.93	0	51.88	55.00	87
NC_003997	1790	1790	1.00	0	0.00	1790	1.00	34	55.84	55.00	87
NC_003909	1790	49	0.03	45	0.92	4	0.00	0	0.03	0.00	2
NC_011773	1790	165	0.09	151	0.92	14	0.01	0	0.10	0.00	3
NC_014171	1790	49	0.03	44	0.90	5	0.00	0	0.03	0.00	2
NC_006274	1790	115	0.06	107	0.93	8	0.00	0	0.07	0.00	2
NC_011725	1790	43	0.02	42	0.98	1	0.00	0	0.02	0.00	2
NC_008600	1790	173	0.10	158	0.91	15	0.01	0	0.11	0.00	2
NC_011772	1790	22	0.01	21	0.95	1	0.00	0	0.01	0.00	2
NC_004722	1790	31	0.02	27	0.87	4	0.00	0	0.02	0.00	2
NC_016771	1790	88	0.05	84	0.95	4	0.00	0	0.05	0.00	2
NC_022781	1790	29	0.02	28	0.97	1	0.00	0	0.02	0.00	2
NC_016779	1790	147	0.08	137	0.93	10	0.01	0	0.09	0.00	2
NC_018491	1790	61	0.03	59	0.97	2	0.00	0	0.04	0.00	2
NC_017729	1790	1674	0.94	12	0.01	1662	0.93	0	51.68	55.00	81
NC_017200	1790	70	0.04	67	0.96	3	0.00	0	0.04	0.00	2
NZ_CP001970	1790	1760	0.98	5	0.00	1755	0.98	0	54.82	56.00	80
NZ_CP006742	1790	1506	0.84	28	0.02	1478	0.83	0	45.76	53.00	79
NZ_CP001974	1790	1758	0.98	5	0.00	1753	0.98	0	54.55	55.00	81
NC_018693	1790	25	0.01	23	0.92	2	0.00	0	0.02	0.00	2
NC_017208	1790	27	0.02	27	1.00	0	0.00	0	0.02	0.00	1
NC_018877	1790	32	0.02	31	0.97	1	0.00	0	0.02	0.00	2
NC_020376	1790	25	0.01	24	0.96	1	0.00	0	0.01	0.00	2
NC_018508	1790	30	0.02	29	0.97	1	0.00	0	0.02	0.00	2
NZ_CP004858	1790	31	0.02	30	0.97	1	0.00	0	0.02	0.00	2
NC_020238	1790	36	0.02	33	0.92	3	0.00	0	0.02	0.00	2
NZ_CP004870	1790	22	0.01	22	1.00	0	0.00	0	0.01	0.00	1
NC_018500	1790	29	0.02	27	0.93	2	0.00	0	0.02	0.00	2
NZ_AP014864	1790	30	0.02	23	0.77	7	0.00	0	0.02	0.00	2
NC_022873	1790	37	0.02	36	0.97	1	0.00	0	0.02	0.00	2
NZ_CP007607	1790	46	0.03	41	0.89	5	0.00	0	0.03	0.00	2
NZ_CP007618	1790	1230	0.69	56	0.05	1174	0.66	0	36.27	50.00	80
NZ_CP007626	1790	2	0.00	2	1.00	0	0.00	0	0.00	0.00	1
NZ_CP008846	1790	1502	0.84	29	0.02	1473	0.82	0	45.43	53.00	119
NZ_CP007666	1790	1680	0.94	12	0.01	1668	0.93	0	52.00	55.00	90
NZ_CP009315	1790	1686	0.94	11	0.01	1675	0.94	0	51.80	55.00	85
NZ_CP009325	1790	1684	0.94	12	0.01	1672	0.93	0	51.69	54.00	77
NZ_CP009328	1790	1682	0.94	14	0.01	1668	0.93	0	51.98	55.00	82
NZ_CP009318	1790	133	0.07	122	0.92	11	0.01	0	0.08	0.00	2
NZ_CP009341	1790	1713	0.96	10	0.01	1703	0.95	0	52.66	55.00	78
NZ_CP009300	1790	159	0.09	141	0.89	18	0.01	0	0.10	0.00	3
NZ_CP009331	1790	1668	0.93	15	0.01	1653	0.92	0	51.53	55.00	79
NZ_CP009335	1790	180	0.10	170	0.94	10	0.01	0	0.11	0.00	3
NZ_CP009369	1790	73	0.04	70	0.96	3	0.00	0	0.04	0.00	2
NZ_CP009464	1790	1680	0.94	10	0.01	1670	0.93	0	51.71	55.00	82
NZ_CP009476	1790	1684	0.94	17	0.01	1667	0.93	0	51.85	55.00	81
NZ_CP009351	1790	30	0.02	30	1.00	0	0.00	0	0.02	0.00	1
NZ_CP009544	1790	1708	0.95	7	0.00	1701	0.95	0	52.80	55.00	80
NZ_CP009541	1790	1762	0.98	6	0.00	1756	0.98	0	54.65	55.00	83
NZ_CP009590	1790	84	0.05	77	0.92	7	0.00	0	0.05	0.00	2
NZ_CP009596	1790	210	0.12	197	0.94	13	0.01	0	0.13	0.00	3
NZ_CP009598	1790	1714	0.96	10	0.01	1704	0.95	0	52.98	55.00	87
NZ_CP009600	1790	151	0.08	141	0.93	10	0.01	0	0.09	0.00	3
NZ_CP009605	1790	190	0.11	177	0.93	13	0.01	0	0.11	0.00	2
NZ_CP009628	1790	71	0.04	62	0.87	9	0.01	0	0.04	0.00	2
NZ_CP009651	1790	4	0.00	3	0.75	1	0.00	0	0.00	0.00	2
NZ_CP009720	1790	169	0.09	161	0.95	8	0.00	0	0.10	0.00	2
