Sample	Total Queried Kmers	Hits	Percent	Singleton Hits	Singleton Percent	Hits (excluding singletons)	Percent(excluding singletons)	Min Count	Mean Count	Median Count	Max Count
NC_009674	14954	1971	0.13	1790	0.91	181	0.01	0	0.14	0.00	3
NC_011658	14954	1883	0.13	1690	0.90	193	0.01	0	0.14	0.00	4
NC_012659	14954	2032	0.14	1856	0.91	176	0.01	0	0.15	0.00	3
NC_005957	14954	1966	0.13	1830	0.93	136	0.01	0	0.14	0.00	3
NC_011969	14954	2404	0.16	2131	0.89	273	0.02	0	0.18	0.00	3
NC_012472	14954	1992	0.13	1868	0.94	124	0.01	0	0.14	0.00	5
NC_003997	14954	2216	0.15	2135	0.96	81	0.01	0	0.15	0.00	3
NC_010184	14954	1704	0.11	1522	0.89	182	0.01	0	0.13	0.00	5
NC_004722	14954	1930	0.13	1747	0.91	183	0.01	0	0.14	0.00	3
NC_014335	14954	1958	0.13	1726	0.88	232	0.02	0	0.15	0.00	4
NC_008600	14954	2188	0.15	1911	0.87	277	0.02	0	0.17	0.00	4
NC_005945	14954	2024	0.14	1800	0.89	224	0.01	0	0.15	0.00	3
NC_006274	14954	1999	0.13	1761	0.88	238	0.02	0	0.15	0.00	3
NC_011725	14954	1864	0.12	1664	0.89	200	0.01	0	0.14	0.00	2
NC_012581	14954	1466	0.10	1414	0.96	52	0.00	0	0.10	0.00	3
NC_014171	14954	1918	0.13	1800	0.94	118	0.01	0	0.14	0.00	2
NC_003909	14954	1769	0.12	1661	0.94	108	0.01	0	0.13	0.00	6
NC_007530	14954	2057	0.14	1827	0.89	230	0.02	0	0.15	0.00	3
NC_011773	14954	1945	0.13	1776	0.91	169	0.01	0	0.14	0.00	3
NC_011772	14954	1877	0.13	1724	0.92	153	0.01	0	0.14	0.00	4
NC_016771	14954	2135	0.14	2005	0.94	130	0.01	0	0.15	0.00	5
NC_016779	14954	2474	0.17	2301	0.93	173	0.01	0	0.18	0.00	3
NC_017729	14954	1539	0.10	1468	0.95	71	0.00	0	0.11	0.00	3
NC_017200	14954	1969	0.13	1835	0.93	134	0.01	0	0.14	0.00	2
NC_017208	14954	2297	0.15	2081	0.91	216	0.01	0	0.17	0.00	4
NC_018491	14954	2185	0.15	1897	0.87	288	0.02	0	0.17	0.00	6
NC_018500	14954	2311	0.15	2131	0.92	180	0.01	0	0.17	0.00	3
NC_018693	14954	2270	0.15	2097	0.92	173	0.01	0	0.16	0.00	4
NC_018508	14954	1874	0.13	1773	0.95	101	0.01	0	0.13	0.00	2
NC_018877	14954	2017	0.13	1844	0.91	173	0.01	0	0.15	0.00	3
NC_020238	14954	1685	0.11	1450	0.86	235	0.02	0	0.13	0.00	4
NC_020376	14954	2218	0.15	2043	0.92	175	0.01	0	0.16	0.00	4
NC_022781	14954	2033	0.14	1877	0.92	156	0.01	0	0.15	0.00	5
NZ_CP001970	14954	2145	0.14	1965	0.92	180	0.01	0	0.16	0.00	3
NZ_CP004858	14954	2192	0.15	2029	0.93	163	0.01	0	0.16	0.00	3
NZ_CP001974	14954	1761	0.12	1495	0.85	266	0.02	0	0.14	0.00	4
NZ_AP014864	14954	1987	0.13	1843	0.93	144	0.01	0	0.14	0.00	3
NC_022873	14954	2079	0.14	1948	0.94	131	0.01	0	0.15	0.00	4
NZ_CP004870	14954	2074	0.14	1872	0.90	202	0.01	0	0.16	0.00	3
